ilce,mahalle,mahalle_uavt,cok_agir_hasarli,agir_hasarli,orta_hasarli,hafif_hasarli,can_kaybi,agir_yarali,hastane_tedavi,hafif_yarali,dogalgaz_hasar,icme_suyu_hasar,atik_su_hasar,barinma_hane,agir_ve_ustu_hasarli,toplam_hasarli,bina_1980_oncesi,bina_1980_2000,bina_2000_sonrasi,bina_1_4_kat,bina_5_9_kat,bina_9_19_kat,toplam_bina,oran_1980_oncesi,oran_2000_oncesi,oran_yuksek_kat,dask_risk_sinifi
SANCAKTEPE,İNÖNÜ,40760,1,4,48,228,0,0,2,11,0,0,0,271,5,281,20,608,699,541,786,0,1327,0.0151,0.4732,0.5923,4
SANCAKTEPE,KEMAL TÜRKLER,40761,1,7,63,230,0,0,3,12,0,0,0,329,8,301,24,679,579,761,519,2,1282,0.0187,0.5484,0.4064,4
SANCAKTEPE,MECLİS,40762,1,6,64,286,1,0,4,15,0,1,1,393,7,357,53,660,761,567,907,0,1474,0.036,0.4837,0.6153,3
SANCAKTEPE,MERVE,40775,2,12,96,285,0,0,3,15,0,0,1,457,14,395,2,660,848,1093,412,5,1510,0.0013,0.4384,0.2762,4
SANCAKTEPE,MEVLANA,40773,2,14,93,265,1,1,6,18,0,0,1,434,16,374,1,814,602,1151,264,2,1417,0.0007,0.5752,0.1877,4
SANCAKTEPE,OSMANGAZİ,40580,19,84,416,861,11,6,46,111,1,1,3,2173,103,1380,25,1906,1282,2477,704,32,3213,0.0078,0.601,0.2291,3
SANCAKTEPE,PAŞAKÖY,192001,1,9,51,125,0,0,0,0,0,0,0,65,10,186,99,151,445,686,9,0,695,0.1424,0.3597,0.0129,4
SANCAKTEPE,SAFA,40771,2,13,88,256,1,0,7,21,0,0,0,517,15,359,1,515,605,736,366,19,1121,0.0009,0.4603,0.3434,4
SANCAKTEPE,SARIGAZİ,40763,4,17,114,322,3,1,12,30,0,0,1,704,21,457,41,737,543,750,571,0,1321,0.031,0.5889,0.4322,4
SANCAKTEPE,VEYSEL KARANİ,40574,10,47,250,504,8,5,26,58,1,1,1,1215,57,811,5,1298,517,1459,328,33,1820,0.0027,0.7159,0.1984,3
SANCAKTEPE,YENİDOĞAN,40774,1,6,63,226,0,0,1,9,0,0,1,313,7,296,6,814,613,995,425,13,1433,0.0042,0.5722,0.3057,4
SANCAKTEPE,YUNUS EMRE,40772,3,17,108,312,1,1,9,25,0,0,1,580,20,440,6,826,715,1152,389,6,1547,0.0039,0.5378,0.2553,4
SARIYER,AYAZAĞA,40686,5,23,152,448,2,1,13,33,1,1,1,714,28,628,733,1198,707,2017,562,59,2638,0.2779,0.732,0.2354,3
SARIYER,BAHÇEKÖY KEMER,40684,0,1,12,40,0,0,0,0,0,0,0,34,1,53,73,140,95,269,36,3,308,0.237,0.6916,0.1266,5
SARIYER,BAHÇEKÖY MERKEZ,40682,0,1,11,39,0,0,0,2,0,0,0,49,1,51,132,102,63,211,84,2,297,0.4444,0.7879,0.2896,5
SARIYER,BAHÇEKÖY YENİ,40683,0,1,13,47,0,0,0,1,0,0,0,62,1,61,96,168,117,276,99,6,381,0.252,0.6929,0.2756,5
SARIYER,BALTALİMANI,40657,3,12,74,187,0,0,3,8,0,0,0,125,15,276,268,593,364,1204,19,2,1225,0.2188,0.7029,0.0171,4
SARIYER,BÜYÜKDERE,40658,7,22,123,298,2,1,7,17,0,0,0,295,29,450,552,885,353,1688,102,0,1790,0.3084,0.8028,0.057,5
SARIYER,CUMHURİYET,40659,2,10,66,200,0,0,3,10,0,0,0,176,12,278,425,780,313,1400,118,0,1518,0.28,0.7938,0.0777,3
SARIYER,ÇAMLITEPE,40660,1,4,27,97,0,0,1,5,0,0,0,83,5,129,441,233,243,850,67,0,917,0.4809,0.735,0.0731,3
SARIYER,ÇAYIRBAŞI,40661,12,27,98,166,5,3,15,28,0,0,0,286,39,303,340,347,182,844,25,0,869,0.3913,0.7906,0.0288,5
SARIYER,DARÜŞŞAFAKA,40662,1,3,15,48,0,0,1,3,0,0,0,140,4,67,25,237,76,174,162,2,338,0.074,0.7751,0.4852,3
SARIYER,DEMİRCİKÖY,191765,1,3,31,92,0,0,0,0,0,0,0,34,4,127,6,392,318,715,1,0,716,0.0084,0.5559,0.0014,3
SARIYER,EMİRGAN,40663,1,3,39,130,0,0,0,1,0,0,0,87,4,173,406,281,363,973,77,0,1050,0.3867,0.6543,0.0733,3
SARIYER,FATİH SULTAN MEHMET,40664,3,19,153,434,0,0,4,14,0,0,0,291,22,609,255,1782,800,2762,75,0,2837,0.0899,0.718,0.0264,4
SARIYER,FERAHEVLER,40665,1,6,55,203,0,0,1,5,0,0,0,150,7,265,546,961,534,1777,263,1,2041,0.2675,0.7384,0.1293,3
SARIYER,GARİPÇE,191767,0,1,6,19,0,0,0,0,0,0,0,7,1,26,19,76,54,146,3,0,149,0.1275,0.6376,0.0201,3
SARIYER,GÜMÜŞDERE,191769,1,5,37,107,0,0,0,0,0,0,0,54,6,150,17,352,409,766,12,0,778,0.0219,0.4743,0.0154,3
SARIYER,HUZUR,40700,1,4,26,94,0,0,1,3,0,0,1,124,5,125,212,161,178,368,106,77,551,0.3848,0.677,0.3321,3
SARIYER,İSTİNYE,40666,11,30,141,284,8,5,23,44,0,1,1,592,41,466,432,378,688,1261,237,0,1498,0.2884,0.5407,0.1582,3
SARIYER,KAZIM KARABEKİR PAŞA,40667,2,10,75,217,0,0,2,8,0,0,0,158,12,304,430,807,304,1508,31,2,1541,0.279,0.8027,0.0214,5
SARIYER,KISIRKAYA,191771,0,2,12,31,0,0,0,0,0,0,0,28,2,45,0,121,92,213,0,0,213,0,0.5681,0.0,3
SARIYER,KİREÇBURNU,40668,1,2,27,98,0,0,0,1,0,0,0,38,3,128,380,384,224,917,71,0,988,0.3846,0.7733,0.0719,3
SARIYER,KOCATAŞ,40669,1,6,46,134,0,0,1,4,0,0,0,80,7,187,228,484,258,968,2,0,970,0.2351,0.734,0.0021,5
