ilce,mahalle,mahalle_uavt,cok_agir_hasarli,agir_hasarli,orta_hasarli,hafif_hasarli,can_kaybi,agir_yarali,hastane_tedavi,hafif_yarali,dogalgaz_hasar,icme_suyu_hasar,atik_su_hasar,barinma_hane,agir_ve_ustu_hasarli,toplam_hasarli,bina_1980_oncesi,bina_1980_2000,bina_2000_sonrasi,bina_1_4_kat,bina_5_9_kat,bina_9_19_kat,toplam_bina,oran_1980_oncesi,oran_2000_oncesi,oran_yuksek_kat,dask_risk_sinifi
SARIYER,KUMKÖY (KİLYOS),191773,1,6,57,173,0,0,0,0,0,0,1,83,7,237,0,544,766,1288,22,0,1310,0,0.4153,0.0168,3
SARIYER,MADEN,40670,4,14,111,310,1,1,6,13,0,0,1,268,18,439,513,991,743,2162,85,0,2247,0.2283,0.6693,0.0378,5
SARIYER,MASLAK,40704,1,6,45,124,1,1,6,15,0,1,1,26,7,176,115,180,347,564,54,24,642,0.1791,0.4595,0.1215,3
SARIYER,PINAR,40672,2,9,59,192,1,1,4,10,0,0,0,195,11,262,378,298,854,1424,106,0,1530,0.2471,0.4418,0.0693,3
SARIYER,POLİGON,40673,1,3,28,91,0,0,0,3,0,0,0,98,4,123,210,148,360,649,69,0,718,0.2925,0.4986,0.0961,3
SARIYER,PTT EVLERİ,40674,4,9,53,111,2,1,7,14,0,0,0,175,13,177,162,257,137,479,77,0,556,0.2914,0.7536,0.1385,5
SARIYER,REŞİTPAŞA,40675,4,18,125,384,1,1,6,18,1,0,1,307,22,531,1225,637,822,2464,215,5,2684,0.4564,0.6937,0.082,3
SARIYER,RUMELİ HİSARI,40676,3,11,77,223,0,0,3,8,0,0,0,195,14,314,558,407,385,1071,276,3,1350,0.4133,0.7148,0.2067,4
SARIYER,RUMELİ KAVAĞI,40677,3,9,56,135,0,0,2,6,0,0,0,119,12,203,319,265,181,709,56,0,765,0.417,0.7634,0.0732,3
SARIYER,RUMELİFENERİ,191775,1,3,28,89,0,0,0,0,0,0,0,42,4,121,3,353,345,684,17,0,701,0.0043,0.5078,0.0243,3
SARIYER,SARIYER MERKEZ,40671,15,37,179,380,8,5,25,47,1,1,1,546,52,611,715,781,372,1593,275,0,1868,0.3828,0.8009,0.1472,3
SARIYER,TARABYA,40678,0,4,51,205,0,0,0,1,0,0,1,145,4,260,365,1330,599,2009,284,1,2294,0.1591,0.7389,0.1242,3
SARIYER,USKUMRUKÖY,191777,1,12,123,364,0,0,0,0,1,1,0,184,13,500,38,1277,1397,2710,2,0,2712,0.014,0.4849,0.0007,3
SARIYER,YENİ,40679,5,11,60,136,2,1,5,11,0,0,0,145,16,212,318,240,154,667,45,0,712,0.4466,0.7837,0.0632,3
SARIYER,YENİKÖY,40680,2,10,92,287,0,0,2,8,0,0,1,250,12,391,904,950,591,2140,299,6,2445,0.3697,0.7583,0.1247,3
SARIYER,ZEKERİYAKÖY,191779,1,8,103,360,0,0,0,0,1,1,1,231,9,472,57,1639,1517,2915,297,1,3213,0.0177,0.5279,0.0927,3
SİLİVRİ,AKÖREN,191835,4,17,83,199,0,0,0,0,1,0,1,95,21,303,0,695,440,1129,6,0,1135,0,0.6123,0.0053,5
SİLİVRİ,ALİBEY,40920,8,28,134,330,7,4,24,53,1,1,1,1015,36,500,1,268,668,353,574,10,937,0.0011,0.2871,0.6233,4
SİLİVRİ,ALİPAŞA,40927,8,31,127,221,0,0,1,3,1,1,1,117,39,387,0,456,472,925,3,0,928,0,0.4914,0.0032,4
SİLİVRİ,BALABAN,40930,32,118,468,686,0,0,4,9,1,1,2,488,150,1304,17,1842,977,2788,48,0,2836,0.006,0.6555,0.0169,2
SİLİVRİ,BEKİRLİ,191845,3,7,24,49,0,0,0,1,0,0,0,28,10,83,109,56,109,274,0,0,274,0.3978,0.6022,0.0,5
SİLİVRİ,BEYCİLER,191847,4,13,55,131,0,0,1,2,0,0,1,69,17,203,0,565,259,824,0,0,824,0,0.6857,0.0,5
SİLİVRİ,BÜYÜK ÇAVUŞLU,40941,9,26,101,239,0,0,3,6,0,1,1,145,35,375,0,1107,455,1553,5,4,1562,0,0.7087,0.0058,5
SİLİVRİ,BÜYÜK KILIÇLI,16775,4,17,75,172,0,0,0,0,0,0,0,85,21,268,0,557,351,905,3,0,908,0,0.6134,0.0033,5
SİLİVRİ,BÜYÜK SİNEKLİ,16771,3,7,25,55,0,0,0,0,0,0,0,89,10,90,0,238,86,324,0,0,324,0,0.7346,0.0,5
SİLİVRİ,CUMHURİYET,40922,34,126,490,678,6,3,22,49,1,2,1,704,160,1328,0,1541,1015,2431,125,0,2556,0,0.6029,0.0489,4
SİLİVRİ,ÇAYIRDERE,191851,12,26,73,155,0,0,2,4,0,0,0,104,38,266,316,328,417,1061,0,0,1061,0.2978,0.607,0.0,5
SİLİVRİ,ÇELTİK,191837,8,31,124,207,0,0,0,1,1,1,1,142,39,370,0,602,265,861,6,0,867,0,0.6943,0.0069,3
SİLİVRİ,DANAMANDIRA,191853,2,5,23,63,0,0,0,1,0,0,0,32,7,93,0,342,160,501,1,0,502,0,0.6813,0.002,3
SİLİVRİ,FATİH,40918,9,28,104,215,6,4,17,36,0,0,0,454,37,356,5,357,314,465,211,0,676,0.0074,0.5355,0.3121,4
SİLİVRİ,FENER,16765,13,45,168,316,0,0,2,4,1,1,1,195,58,542,312,621,446,1376,3,0,1379,0.2263,0.6766,0.0022,5
SİLİVRİ,FEVZİPAŞA,40933,7,29,128,242,1,1,5,12,1,1,2,188,36,406,14,590,474,1061,16,1,1078,0.013,0.5603,0.0158,3
SİLİVRİ,GAZİTEPE,40925,7,28,105,180,0,0,1,3,0,0,0,124,35,320,0,526,228,752,2,0,754,0,0.6976,0.0027,4
SİLİVRİ,GÜMÜŞYAKA,40935,45,186,781,1146,1,0,14,34,2,2,5,946,231,2158,0,2966,1610,4502,74,0,4576,0,0.6482,0.0162,3
SİLİVRİ,HÜRRİYET,40937,1,16,110,214,0,0,0,0,1,1,0,322,17,341,0,0,910,904,6,0,910,0,0,0.0066,4
SİLİVRİ,İSMETPAŞA,40934,7,29,122,229,1,1,4,10,1,1,1,221,36,387,149,504,401,1048,6,0,1054,0.1414,0.6195,0.0057,3
SİLİVRİ,KADIKÖY,40939,12,38,128,224,1,1,4,9,0,0,0,170,50,402,281,354,294,929,0,0,929,0.3025,0.6835,0.0,4
SİLİVRİ,KAVAKLI,40936,2,18,119,226,0,0,0,1,1,1,0,153,20,365,0,0,943,927,16,0,943,0,0,0.017,4
SİLİVRİ,KURFALLI,191855,3,11,39,90,0,0,0,0,0,0,0,48,14,143,1,350,148,497,1,1,499,0.002,0.7034,0.004,5
SİLİVRİ,KÜÇÜK KILIÇLI,40924,2,7,28,54,0,0,0,0,0,0,0,30,9,91,0,124,117,241,0,0,241,0,0.5145,0.0,4
SİLİVRİ,KÜÇÜK SİNEKLİ,16779,1,3,8,18,0,0,0,0,0,0,0,11,4,30,0,88,13,101,0,0,101,0,0.8713,0.0,5
SİLİVRİ,MİMAR SİNAN,40923,37,139,559,822,9,3,33,72,1,2,4,1349,176,1557,0,1899,1315,3105,105,4,3214,0,0.5909,0.0339,4
SİLİVRİ,ORTAKÖY,40938,20,75,307,496,1,1,4,10,1,2,0,353,95,898,116,859,1002,1950,23,4,1977,0.0587,0.4932,0.0137,4
SİLİVRİ,PİRİ MEHMET PAŞA,40919,11,30,124,278,6,4,19,40,0,1,1,584,41,443,0,241,527,310,439,19,768,0,0.3138,0.5964,4
SİLİVRİ,SANCAKTEPE,40931,23,85,341,526,1,0,7,15,1,1,2,453,108,975,17,1172,914,1996,102,5,2103,0.0081,0.5654,0.0509,2
SİLİVRİ,SAYALAR,191859,4,10,32,75,0,0,1,3,0,0,0,43,14,121,0,319,251,570,0,0,570,0,0.5596,0.0,5
SİLİVRİ,SELİMPAŞA,40940,31,165,814,1319,5,2,23,64,3,5,5,1515,196,2329,0,1371,3583,4723,231,0,4954,0,0.2767,0.0466,3
SİLİVRİ,SEMİZKUMLAR,40926,52,216,926,1347,3,0,9,20,1,2,3,1093,268,2541,0,2739,2671,5369,39,2,5410,0,0.5063,0.0076,2
SİLİVRİ,SEYMEN,191841,5,19,82,180,0,0,0,0,0,0,0,88,24,286,0,562,340,895,7,0,902,0,0.6231,0.0078,5
SİLİVRİ,YENİ,40921,17,64,274,518,10,3,46,104,1,2,3,1964,81,873,0,751,1085,1385,348,103,1836,0,0.409,0.2456,4
SİLİVRİ,YOLÇATI,40932,4,14,54,97,0,0,0,0,0,0,0,64,18,169,0,302,124,426,0,0,426,0,0.7089,0.0,3
SULTANBEYLİ,ABDURRAHMANGAZİ,40949,14,68,389,781,11,7,36,85,1,1,2,1763,82,1252,117,2143,669,2481,436,12,2929,0.0399,0.7716,0.153,3
SULTANBEYLİ,ADİL,40943,2,12,96,265,0,0,5,19,0,0,1,578,14,375,2,719,538,939,290,30,1259,0.0016,0.5727,0.2542,3
SULTANBEYLİ,AHMET YESEVİ,40942,8,45,292,677,6,2,23,57,0,0,1,1305,53,1022,22,2165,619,2407,392,7,2806,0.0078,0.7794,0.1422,3
SULTANBEYLİ,AKŞEMSETTİN,40956,4,29,182,377,2,1,11,30,0,0,1,631,33,592,1,944,681,1534,92,0,1626,0.0006,0.5812,0.0566,2
SULTANBEYLİ,BATTALGAZİ,40944,9,58,368,789,4,2,23,63,1,1,2,1470,67,1224,3,2151,1213,3007,345,15,3367,0.0009,0.6397,0.1069,3
SULTANBEYLİ,FATİH,40951,6,40,256,518,5,2,20,48,0,0,1,1112,46,820,0,1702,416,1970,148,0,2118,0,0.8036,0.0699,3
SULTANBEYLİ,HAMİDİYE,40952,12,67,379,702,10,6,36,83,1,1,2,1651,79,1160,3,1923,786,2572,140,0,2712,0.0011,0.7102,0.0516,3
SULTANBEYLİ,HASANPAŞA,40948,6,36,217,461,4,3,17,42,0,0,1,955,42,720,5,1112,651,1512,248,8,1768,0.0028,0.6318,0.1448,3
SULTANBEYLİ,MECİDİYE,40945,7,42,260,568,4,3,17,46,0,1,2,1075,49,877,12,1828,646,2230,254,2,2486,0.0048,0.7401,0.103,2
SULTANBEYLİ,MEHMET AKİF,40950,12,60,362,743,10,5,34,78,1,1,2,1581,72,1177,265,1791,733,2298,487,4,2789,0.095,0.7372,0.176,3
SULTANBEYLİ,MİMAR SİNAN,40946,3,26,178,436,0,0,5,24,1,1,2,626,29,643,1,1100,1184,2150,121,14,2285,0.0004,0.4818,0.0591,3
SULTANBEYLİ,NECİP FAZIL,40954,8,52,285,512,5,2,21,51,1,1,2,1082,60,857,0,1174,797,1900,70,1,1971,0,0.5956,0.036,2
SULTANBEYLİ,ORHANGAZİ,40955,7,41,223,410,6,3,22,51,1,1,1,918,48,681,0,1034,556,1538,52,0,1590,0,0.6503,0.0327,2
SULTANBEYLİ,TURGUT REİS,40947,3,23,168,417,1,0,10,29,0,0,1,742,26,611,27,1368,463,1513,344,1,1858,0.0145,0.7508,0.1857,3
SULTANBEYLİ,YAVUZ SELİM,40953,8,49,294,569,5,2,20,50,0,1,1,1146,57,920,0,1662,685,2268,79,0,2347,0,0.7081,0.0337,2
SULTANGAZİ,50. YIL,40471,10,32,278,1045,14,7,45,105,1,1,2,1779,42,1365,212,2975,926,1346,2765,2,4113,0.0515,0.7749,0.6727,4
SULTANGAZİ,75. YIL,40467,2,5,47,262,2,0,8,22,0,0,1,387,7,316,207,529,676,341,1071,0,1412,0.1466,0.5212,0.7585,2
SULTANGAZİ,CEBECİ,40474,7,30,256,923,5,2,21,56,1,1,1,1347,37,1216,512,2700,1307,2258,2258,3,4519,0.1133,0.7108,0.5003,4
SULTANGAZİ,CUMHURİYET,40465,1,2,25,134,1,0,4,10,0,0,0,189,3,162,61,423,193,170,507,0,677,0.0901,0.7149,0.7489,4
SULTANGAZİ,ESENTEPE,40470,4,19,160,686,3,1,17,48,0,1,1,1114,23,869,95,2026,1414,1552,1978,5,3535,0.0269,0.6,0.561,4
SULTANGAZİ,ESKİ HABİPLER,40356,1,6,37,120,0,0,0,4,0,0,0,139,7,164,117,257,395,601,148,20,769,0.1521,0.4863,0.2185,4
SULTANGAZİ,GAZİ,40469,6,24,121,404,6,4,20,46,0,0,1,793,30,555,764,673,650,1290,797,0,2087,0.3661,0.6885,0.3819,4
SULTANGAZİ,HABİBLER,40477,3,19,91,275,0,0,0,8,0,0,0,137,22,388,161,891,851,1877,24,2,1903,0.0846,0.5528,0.0137,4
SULTANGAZİ,İSMETPAŞA,40475,4,13,138,611,5,2,17,45,0,0,1,980,17,766,399,1735,911,1047,1996,2,3045,0.131,0.7008,0.6562,4
SULTANGAZİ,MALKOÇOĞLU,40476,0,2,26,134,0,0,2,6,0,0,0,163,2,162,1,531,236,279,489,0,768,0.0013,0.6927,0.6367,4
SULTANGAZİ,SULTANÇİFTLİĞİ,40472,3,10,104,454,4,1,14,35,0,0,1,641,13,571,385,1143,675,813,1388,2,2203,0.1748,0.6936,0.631,4
SULTANGAZİ,UĞUR MUMCU,40473,8,25,206,713,11,5,33,76,1,1,1,1207,33,952,421,1398,738,951,1598,8,2557,0.1646,0.7114,0.6281,4
SULTANGAZİ,YAYLA,40377,2,11,77,211,0,0,1,6,0,0,0,188,13,301,33,823,491,1307,40,0,1347,0.0245,0.6355,0.0297,4
SULTANGAZİ,YUNUS EMRE,40466,2,9,74,360,3,2,14,37,0,0,1,667,11,445,362,649,905,627,1289,0,1916,0.1889,0.5277,0.6728,4
SULTANGAZİ,ZÜBEYDE HANIM,40468,8,38,164,552,3,3,21,52,0,0,1,793,46,762,772,1668,656,2358,738,0,3096,0.2494,0.7881,0.2384,3
ŞİLE,AĞAÇDERE,191927,0,1,5,13,0,0,0,0,0,0,0,6,1,19,5,60,15,80,0,0,80,0.0625,0.8125,0.0,5
ŞİLE,AĞVA MERKEZ,40961,1,4,39,117,0,0,0,0,0,1,1,40,5,161,200,508,151,844,15,0,859,0.2328,0.8242,0.0175,3
ŞİLE,AHMETLİ,191861,2,6,38,110,0,0,0,0,1,1,1,41,8,156,20,519,324,846,17,0,863,0.0232,0.6246,0.0197,3
ŞİLE,AKÇAKESE,191863,0,2,12,40,0,0,0,0,0,0,0,12,2,54,5,338,27,368,2,0,370,0.0135,0.927,0.0054,5
ŞİLE,ALACALI,191947,0,1,15,53,0,0,0,0,0,0,0,13,1,69,0,36,512,548,0,0,548,0,0.0657,0.0,3
ŞİLE,AVCIKORU,191949,0,1,6,17,0,0,0,0,0,0,0,5,1,24,29,72,26,127,0,0,127,0.2283,0.7953,0.0,5
ŞİLE,BALİBEY,40960,0,3,50,185,0,0,0,0,0,1,1,49,3,238,47,939,831,1781,36,0,1817,0.0259,0.5427,0.0198,3
ŞİLE,BIÇKIDERE,191951,1,3,14,33,0,0,0,1,0,0,0,16,4,51,37,130,18,185,0,0,185,0.2,0.9027,0.0,5
ŞİLE,BOZGOCA,16785,0,0,3,9,0,0,0,0,0,0,0,2,0,12,4,79,13,96,0,0,96,0.0417,0.8646,0.0,5
ŞİLE,BUCAKLI,191897,0,1,10,33,0,0,0,0,0,0,0,10,1,44,38,208,39,284,1,0,285,0.1333,0.8632,0.0035,3
ŞİLE,ÇATAKLI,191899,1,1,7,18,0,0,0,0,0,0,0,9,2,27,47,46,25,118,0,0,118,0.3983,0.7881,0.0,5
ŞİLE,ÇAVUŞ,40959,1,5,62,209,0,0,0,0,1,1,1,130,6,277,171,1156,451,1586,192,0,1778,0.0962,0.7463,0.108,3
ŞİLE,ÇAYIRBAŞI,191867,0,2,17,60,0,0,0,0,0,0,0,18,2,79,0,415,148,557,6,0,563,0,0.7371,0.0107,3
ŞİLE,ÇELEBİ,191901,0,0,4,15,0,0,0,0,0,0,0,4,0,19,0,114,39,153,0,0,153,0,0.7451,0.0,3
ŞİLE,ÇENGİLLİ,191929,0,2,7,19,0,0,0,0,0,0,0,9,2,28,0,95,12,107,0,0,107,0,0.8879,0.0,4
ŞİLE,DARLIK,191869,0,1,4,11,0,0,0,0,0,0,0,5,1,16,0,42,17,59,0,0,59,0,0.7119,0.0,4
ŞİLE,DEĞİRMENÇAYIRI,191931,1,6,26,63,0,0,0,0,0,0,0,30,7,96,0,225,101,326,0,0,326,0,0.6902,0.0,4
ŞİLE,DOĞANCILI,191953,0,1,16,63,0,0,0,0,0,0,1,14,1,80,0,0,714,710,4,0,714,0,0,0.0056,3
ŞİLE,ERENLER,191871,0,0,2,5,0,0,0,0,0,0,0,2,0,7,0,41,6,47,0,0,47,0,0.8723,0.0,5
ŞİLE,ESENCELİ,191955,0,1,3,8,0,0,0,0,0,0,0,4,1,12,8,25,16,49,0,0,49,0.1633,0.6735,0.0,3
ŞİLE,GEREDELİ,191903,1,4,24,72,0,0,0,0,0,0,0,28,5,101,24,454,103,581,0,0,581,0.0413,0.8227,0.0,3
ŞİLE,GÖÇE,191905,1,2,13,40,0,0,0,0,0,0,0,16,3,56,62,213,63,337,1,0,338,0.1834,0.8136,0.003,3
ŞİLE,GÖKMAŞLI,16807,0,1,8,22,0,0,0,0,0,0,0,7,1,31,49,94,8,151,0,0,151,0.3245,0.947,0.0,3
ŞİLE,GÖKSU,191909,1,3,12,32,0,0,0,0,0,0,0,14,4,48,48,130,24,202,0,0,202,0.2376,0.8812,0.0,5
ŞİLE,HACI KASIM,40958,0,0,7,29,0,0,0,0,0,0,0,10,0,36,82,173,19,240,34,0,274,0.2993,0.9307,0.1241,3
ŞİLE,HACILLI,191911,0,2,8,20,0,0,0,0,0,0,0,10,2,30,4,101,18,123,0,0,123,0.0325,0.8537,0.0,5
ŞİLE,HASANLI,191933,1,2,9,26,0,0,0,0,0,0,0,12,3,38,1,122,33,156,0,0,156,0.0064,0.7885,0.0,4
ŞİLE,İMRENDERE,191873,0,2,15,48,0,0,0,0,0,0,0,10,2,65,0,384,29,411,2,0,413,0,0.9298,0.0048,3
ŞİLE,İMRENLİ,191875,0,2,14,49,0,0,0,0,0,0,0,10,2,65,7,358,126,487,4,0,491,0.0143,0.7434,0.0081,5
ŞİLE,İSAKÖY,191913,1,1,10,20,0,0,0,0,0,0,0,11,2,32,45,51,30,126,0,0,126,0.3571,0.7619,0.0,3
ŞİLE,KABAKOZ,191877,1,4,23,75,0,0,0,0,0,0,0,19,5,103,7,444,185,631,5,0,636,0.011,0.7091,0.0079,5
ŞİLE,KADIKÖY,191915,0,0,2,9,0,0,0,0,0,0,0,2,0,11,0,83,11,94,0,0,94,0,0.883,0.0,5
ŞİLE,KALEM,191917,0,1,9,28,0,0,0,0,0,0,0,10,1,38,55,116,26,197,0,0,197,0.2792,0.868,0.0,3
ŞİLE,KARABEYLİ,191879,0,1,6,18,0,0,0,0,0,0,0,7,1,25,1,116,15,131,1,0,132,0.0076,0.8864,0.0076,5
ŞİLE,KARACAKÖY,191881,0,1,7,25,0,0,0,0,0,0,0,6,1,33,4,205,61,268,2,0,270,0.0148,0.7741,0.0074,5
ŞİLE,KARAKİRAZ,191957,0,1,7,23,0,0,0,0,0,0,0,5,1,31,12,182,45,239,0,0,239,0.0502,0.8117,0.0,5
ŞİLE,KARAMANDERE,191883,0,1,6,18,0,0,0,0,0,0,0,8,1,25,6,127,26,159,0,0,159,0.0377,0.8365,0.0,3
ŞİLE,KERVANSARAY,191959,0,1,7,19,0,0,0,0,0,0,0,7,1,27,15,118,24,157,0,0,157,0.0955,0.8471,0.0,5
ŞİLE,KIZILCA,191885,1,3,16,49,0,0,0,0,0,0,0,16,4,69,140,158,83,370,11,0,381,0.3675,0.7822,0.0289,3
ŞİLE,KORUCU,191887,0,1,4,13,0,0,0,0,0,0,0,4,1,18,3,105,22,130,0,0,130,0.0231,0.8308,0.0,3
ŞİLE,KÖMÜRLÜK,191961,0,0,2,9,0,0,0,0,0,0,0,2,0,11,27,72,12,111,0,0,111,0.2432,0.8919,0.0,5
ŞİLE,KUMBABA,40957,1,5,52,154,0,0,0,0,1,1,1,56,6,212,0,717,422,1137,2,0,1139,0,0.6295,0.0018,3
ŞİLE,KURFALLI,191919,0,1,9,30,0,0,0,0,0,0,0,7,1,40,0,50,236,285,1,0,286,0,0.1748,0.0035,3
ŞİLE,KURNA,191963,0,0,5,21,0,0,0,0,0,0,0,4,0,26,16,201,37,253,1,0,254,0.063,0.8543,0.0039,5
ŞİLE,MEŞRUTİYET,191889,0,1,12,40,0,0,0,0,0,0,0,11,1,53,2,262,109,364,9,0,373,0.0054,0.7078,0.0241,3
ŞİLE,ORUÇOĞLU,191965,1,3,16,36,0,0,0,0,0,0,0,19,4,56,47,124,22,193,0,0,193,0.2435,0.886,0.0,5
ŞİLE,OSMANKÖY,191935,1,2,8,20,0,0,0,0,0,0,0,10,3,31,6,118,14,138,0,0,138,0.0435,0.8986,0.0,5
ŞİLE,OVACIK,191891,0,1,4,12,0,0,0,0,0,0,0,4,1,17,2,71,24,97,0,0,97,0.0206,0.7526,0.0,3
ŞİLE,SAHİLKÖY,191967,0,2,26,94,0,0,0,0,0,0,0,23,2,122,4,10,977,991,0,0,991,0.004,0.0141,0.0,3
ŞİLE,SATMAZLI,191893,1,2,10,30,0,0,0,0,0,0,0,11,3,43,3,196,42,241,0,0,241,0.0124,0.8257,0.0,3
ŞİLE,SOFULAR,191969,0,0,5,19,0,0,0,0,0,0,0,5,0,24,12,125,72,209,0,0,209,0.0574,0.6555,0.0,3
ŞİLE,SOĞULLU,191921,1,2,9,23,0,0,0,0,0,0,0,10,3,35,68,59,8,135,0,0,135,0.5037,0.9407,0.0,3
ŞİLE,SORTULLU,191937,0,1,3,8,0,0,0,0,0,0,0,5,1,12,0,48,4,52,0,0,52,0,0.9231,0.0,5
ŞİLE,ŞUAYİPLİ,191923,0,0,7,25,0,0,0,0,0,0,0,6,0,32,37,69,125,231,0,0,231,0.1602,0.4589,0.0,3
ŞİLE,TEKE,16816,1,3,16,41,0,0,0,0,0,0,0,20,4,61,3,226,36,265,0,0,265,0.0113,0.8642,0.0,5
ŞİLE,ULUPELİT,191971,1,2,10,27,0,0,0,0,0,0,0,12,3,40,0,139,29,168,0,0,168,0,0.8274,0.0,5
ŞİLE,ÜVEZLİ,191973,0,0,4,16,0,0,0,0,0,0,0,3,0,20,5,161,84,250,0,0,250,0.02,0.664,0.0,5
ŞİLE,YAKA,191939,1,2,8,19,0,0,0,0,0,0,0,10,3,30,0,85,18,103,0,0,103,0,0.8252,0.0,4
ŞİLE,YAYLALI,191941,0,1,3,9,0,0,0,0,0,0,0,4,1,13,0,48,9,56,1,0,57,0,0.8421,0.0175,5
ŞİLE,YAZIMANAYIR,191943,0,2,7,20,0,0,0,0,0,0,0,9,2,29,4,107,11,122,0,0,122,0.0328,0.9098,0.0,5
ŞİLE,YENİKÖY,191895,0,1,7,20,0,0,0,0,0,0,0,10,1,28,0,142,15,156,1,0,157,0,0.9045,0.0064,3
ŞİLE,YEŞİLVADİ,191945,0,1,4,13,0,0,0,0,0,0,0,4,1,18,5,111,20,136,0,0,136,0.0368,0.8529,0.0,5
ŞİŞLİ,19 MAYIS,40685,2,5,24,131,2,1,7,14,0,0,0,145,7,162,389,190,49,90,437,101,628,0.6194,0.922,0.8567,3
ŞİŞLİ,BOZKURT,40687,3,7,37,187,2,1,6,13,0,0,0,174,10,234,480,377,32,148,710,31,889,0.5399,0.964,0.8335,2
ŞİŞLİ,CUMHURİYET,40688,2,4,21,122,2,1,5,10,0,0,0,96,6,149,278,241,56,94,425,56,575,0.4835,0.9026,0.8365,3
ŞİŞLİ,DUATEPE,40689,2,4,22,118,1,1,5,9,0,0,0,115,6,146,264,291,18,69,496,8,573,0.4607,0.9686,0.8796,3
ŞİŞLİ,ERGENEKON,40690,1,5,23,98,1,1,3,6,0,0,0,48,6,127,165,272,22,193,190,76,459,0.3595,0.9521,0.5795,2
ŞİŞLİ,ESENTEPE,40691,2,7,33,145,0,0,3,10,1,0,1,116,9,187,486,194,88,319,351,98,768,0.6328,0.8854,0.5846,4
ŞİŞLİ,ESKİŞEHİR,40692,4,14,69,248,3,2,8,17,0,0,0,286,18,335,502,523,97,510,595,17,1122,0.4474,0.9135,0.5455,2
ŞİŞLİ,FERİKÖY,40693,3,7,37,182,3,2,8,17,0,0,0,229,10,229,383,377,88,148,693,7,848,0.4517,0.8962,0.8255,2
ŞİŞLİ,FULYA,40694,2,5,26,166,3,1,10,20,0,1,1,192,7,199,426,379,63,126,656,86,868,0.4908,0.9274,0.8548,3
ŞİŞLİ,GÜLBAHAR,40695,2,7,37,176,3,1,9,19,0,0,0,313,9,222,437,429,89,216,618,121,955,0.4576,0.9068,0.7738,4
ŞİŞLİ,HALASKARGAZİ,40698,1,3,15,80,0,0,2,4,0,0,0,31,4,99,230,91,34,55,261,39,355,0.6479,0.9042,0.8451,3
ŞİŞLİ,HALİDE EDİP ADIVAR,40696,2,6,33,154,2,0,6,15,0,0,0,266,8,195,240,454,90,210,537,37,784,0.3061,0.8852,0.7321,3
ŞİŞLİ,HALİL RIFAT PAŞA,40697,1,5,22,80,1,0,3,7,0,0,0,101,6,108,83,249,49,258,123,0,381,0.2178,0.8714,0.3228,3
ŞİŞLİ,HARBİYE,40699,1,3,15,68,0,0,1,3,0,0,0,39,4,87,142,129,53,116,159,49,324,0.4383,0.8364,0.642,2
ŞİŞLİ,İNÖNÜ,40711,3,11,49,172,1,0,3,7,0,0,0,104,14,235,411,320,56,470,270,47,787,0.5222,0.9288,0.4028,2
ŞİŞLİ,İZZET PAŞA,40712,2,6,30,118,2,1,5,10,0,0,0,158,8,156,345,242,16,199,389,15,603,0.5721,0.9735,0.67,3
ŞİŞLİ,KAPTANPAŞA,40701,0,1,5,20,0,0,1,2,0,0,0,54,1,26,49,30,22,54,23,24,101,0.4851,0.7822,0.4653,3
ŞİŞLİ,KUŞTEPE,40702,5,22,104,343,4,3,13,29,0,0,0,397,27,474,993,701,66,1335,404,21,1760,0.5642,0.9625,0.2415,3
ŞİŞLİ,MAHMUT ŞEVKET PAŞA,40703,4,13,64,255,5,3,15,31,0,0,1,440,17,336,606,502,40,335,795,18,1148,0.5279,0.9652,0.7082,3
ŞİŞLİ,MECİDİYEKÖY,40705,3,8,42,206,4,1,11,24,0,0,0,286,11,259,612,437,46,306,694,95,1095,0.5589,0.958,0.7205,3
ŞİŞLİ,MERKEZ,40706,4,10,54,284,3,1,10,21,1,1,1,194,14,352,839,451,89,301,1007,71,1379,0.6084,0.9355,0.7817,3
ŞİŞLİ,MEŞRUTİYET,40707,7,13,58,263,4,2,10,18,0,0,0,188,20,341,600,300,41,96,764,81,941,0.6376,0.9564,0.898,3
ŞİŞLİ,PAŞA,40708,5,21,93,325,4,2,12,27,0,0,1,410,26,444,682,618,221,891,623,7,1521,0.4484,0.8547,0.4142,3
ŞİŞLİ,TEŞVİKİYE,40709,3,6,30,180,2,1,7,15,0,0,0,155,9,219,449,369,58,145,656,75,876,0.5126,0.9338,0.8345,3
ŞİŞLİ,YAYLA,40710,4,14,65,212,3,2,9,20,0,0,0,308,18,295,510,321,118,553,391,5,949,0.5374,0.8757,0.4173,2
TUZLA,AKFIRAT,40725,1,11,65,117,0,0,0,2,0,0,0,142,12,194,0,0,480,475,5,0,480,0,0,0.0104,3
TUZLA,ANADOLU,40730,0,4,23,48,0,0,0,1,0,0,0,43,4,75,0,40,160,193,7,0,200,0,0.2,0.035,2
TUZLA,AYDINLI,40720,41,176,821,1481,22,12,87,188,2,3,9,3467,217,2519,158,2730,2258,4130,844,172,5146,0.0307,0.5612,0.1974,1
TUZLA,AYDINTEPE,40717,11,38,191,458,12,6,34,72,1,1,2,1119,49,698,140,699,615,744,592,118,1454,0.0963,0.577,0.4883,1
TUZLA,CAMİ,40724,26,73,250,278,11,6,33,61,1,1,2,729,99,627,170,457,283,809,100,1,910,0.1868,0.689,0.111,1
